,state,account_length,international_plan,voice_mail_plan,total_day_calls,total_day_charge,total_eve_calls,total_eve_charge,total_night_calls,total_night_charge,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
27,OK,57,no,yes,94,30.06,75,16.58,116,9.61,4,2.24,0,no
28,AK,36,no,yes,128,24.87,80,13.81,109,5.82,6,3.92,0,no
29,MA,78,no,no,64,22.24,116,19.01,108,10.25,5,2.7,1,no
30,AK,136,yes,yes,106,34.66,99,15.95,107,4.58,6,2.84,3,no
31,GA,98,no,no,102,21.47,85,14.18,135,8.45,2,2.54,3,no
32,MD,135,yes,yes,85,29.43,107,17.33,78,5.5,15,3.94,0,yes
33,AR,34,no,no,82,21.22,98,23.99,78,14.02,4,2.7,2,no
34,ID,160,no,no,77,14.59,110,14.05,92,8.03,4,2.48,3,no
35,WI,64,no,no,67,26.18,118,19.19,86,11.94,3,0.95,1,no
36,OR,59,no,yes,97,20.55,92,18.11,116,7.34,5,2.3,2,no
37,MI,65,no,no,120,35.92,122,13.82,118,6.06,5,3.56,3,no
38,DE,142,no,no,133,31.79,74,11.44,127,10.9,5,2.0,2,no
39,WY,97,no,yes,135,22.64,58,18.46,79,3.18,3,2.97,1,no
40,IA,52,no,no,108,32.62,96,22.93,87,10.66,5,2.11,3,no
41,IN,60,no,no,57,37.5,115,17.94,129,11.21,3,1.84,1,no
42,VA,10,no,no,112,31.64,66,16.17,57,12.73,6,3.08,2,no
43,UT,96,no,no,117,27.23,67,22.74,68,10.28,5,2.51,2,no
44,IN,81,no,no,67,29.84,85,21.19,98,12.16,3,2.75,1,no
45,CO,141,no,no,98,21.57,62,15.3,128,6.34,2,2.16,1,no
46,CO,121,no,yes,129,33.73,77,6.4,77,8.15,3,1.57,3,yes
47,OK,125,no,no,103,38.98,126,15.08,95,8.52,8,3.24,1,no
48,ID,174,no,no,97,32.66,94,14.44,54,7.5,4,3.08,1,no
49,CA,116,no,yes,83,45.66,142,15.15,106,7.48,3,3.13,2,no
50,SD,149,no,yes,92,30.72,64,15.96,53,11.95,3,3.4,3,no
51,NC,38,no,no,98,22.3,97,13.85,106,7.15,6,2.21,2,no
52,WA,40,no,yes,74,25.18,88,14.41,102,9.63,5,1.67,2,no
53,WY,43,yes,no,105,42.76,104,18.09,67,7.1,4,2.51,0,no
54,MN,113,yes,no,93,21.28,119,17.54,139,5.82,8,2.24,0,no
55,UT,126,no,no,70,35.97,80,18.44,60,6.91,1,2.11,1,no
56,TX,150,no,no,101,30.41,110,14.37,100,6.69,3,3.73,4,yes
57,NJ,138,no,no,93,41.11,83,14.49,104,13.29,7,3.19,3,no
58,MN,162,no,yes,97,38.23,84,16.0,61,11.46,2,3.27,0,no
59,NM,147,no,no,83,42.26,85,12.66,109,7.76,4,2.16,3,no
60,NV,90,no,no,146,34.58,117,19.27,105,6.86,4,1.97,1,no
61,HI,85,no,no,109,40.09,94,13.36,99,8.47,3,3.24,0,no
62,MN,50,no,no,90,26.71,72,18.98,111,8.16,2,1.65,1,no
63,DC,82,no,no,109,51.05,100,15.39,73,12.15,4,3.16,0,yes
64,NY,144,no,no,117,10.47,85,6.55,99,7.79,7,2.21,4,yes
65,MN,46,no,no,72,36.4,104,13.97,113,7.99,3,2.21,2,no
66,MD,70,no,no,98,28.93,102,13.19,76,10.29,2,4.05,1,no
67,WV,144,no,no,99,34.19,74,25.8,119,10.08,2,3.56,1,no
68,OR,116,yes,no,104,36.62,79,17.41,109,12.53,5,3.4,3,no
69,GA,70,no,yes,101,42.42,98,22.07,68,10.02,4,2.65,1,no
70,VT,128,no,yes,104,30.48,86,19.2,78,14.54,7,2.32,0,no
71,IN,94,no,no,105,26.84,101,13.18,84,8.53,5,2.16,4,yes
72,WV,111,no,no,118,36.43,76,17.72,98,8.21,2,3.24,1,no
73,KY,74,no,yes,104,26.2,84,10.49,57,9.09,9,2.94,2,no
74,NJ,128,no,no,125,40.44,93,21.05,68,9.4,4,3.75,1,yes
75,DC,82,no,no,61,24.46,105,16.57,94,4.93,2,3.0,1,no
76,LA,155,no,no,100,34.58,104,16.23,119,8.82,4,2.4,0,yes
77,AR,80,no,no,100,21.13,107,14.71,62,11.39,9,2.13,1,no
78,ME,78,no,no,93,42.99,112,15.16,105,11.88,7,2.57,3,no
79,AZ,90,no,no,71,30.45,81,16.2,91,5.75,7,2.86,3,no
80,MT,73,no,no,110,27.22,72,18.13,72,7.83,4,3.51,0,no
81,AZ,99,no,no,87,33.69,76,17.62,113,8.59,3,2.35,4,no
82,MS,120,no,no,131,36.06,104,17.8,96,7.52,5,1.43,1,yes
83,ID,77,no,no,72,42.81,126,17.48,109,12.38,7,2.65,2,yes
84,IA,98,no,yes,114,27.4,83,21.44,92,7.21,8,1.19,4,no
85,MA,108,no,no,137,30.31,76,16.07,102,5.81,5,3.94,0,no
86,KY,95,no,no,99,22.95,106,15.61,102,11.04,9,3.38,1,no
87,IN,122,no,no,94,28.99,109,14.76,75,11.19,2,3.05,1,no
88,AZ,95,no,no,65,40.48,98,15.91,115,8.55,4,3.19,4,no
89,MI,36,no,yes,102,47.84,76,17.19,113,8.42,6,2.43,2,no
90,NM,93,no,yes,131,20.04,115,13.98,86,9.76,3,2.65,1,no
91,UT,157,no,no,90,39.07,121,12.57,108,10.86,7,2.59,3,no
92,MI,120,no,no,100,28.05,83,26.96,86,5.36,8,2.24,1,no
93,AL,98,no,no,117,27.37,113,16.23,113,10.25,4,3.27,4,no
94,DE,125,no,no,108,21.54,90,17.51,114,11.15,7,3.59,1,no
95,AZ,63,no,no,125,10.01,59,14.42,88,9.51,3,2.54,1,no
96,ME,36,yes,yes,89,33.46,122,21.67,126,6.22,6,5.4,0,yes
97,NJ,64,no,no,83,27.64,109,12.95,122,2.59,3,3.83,1,no
98,NV,74,no,no,114,48.03,48,18.69,115,7.65,4,2.54,1,yes
99,NE,46,no,no,92,35.73,77,19.32,116,9.0,7,3.54,1,no
100,TX,41,no,yes,102,36.35,86,12.05,123,6.4,3,1.94,0,no
101,MD,121,no,no,103,32.42,117,15.6,103,9.94,4,2.65,3,no
102,MS,193,no,no,124,29.05,95,11.25,89,5.08,3,3.13,1,no
103,NV,130,no,no,119,26.21,98,9.37,117,10.23,5,2.48,2,no
104,AZ,85,no,no,52,34.24,104,19.5,106,11.36,3,3.24,1,no
105,MS,162,no,no,108,12.02,87,13.39,82,6.97,3,2.46,4,yes
106,MS,61,no,yes,124,31.88,103,12.46,129,10.16,6,1.73,4,yes
107,TX,92,no,no,90,15.59,123,16.46,86,7.88,4,2.48,2,no
108,NE,90,no,no,92,24.74,114,18.5,123,6.61,2,2.94,3,no
109,CA,75,no,no,125,28.27,86,13.45,80,11.55,5,1.65,1,no
110,NJ,78,no,no,115,39.27,140,19.58,120,11.76,3,2.57,1,no
111,TX,82,no,no,96,34.05,102,17.1,60,9.27,1,1.92,4,no
112,AR,163,no,no,109,33.49,128,17.22,80,9.29,10,2.46,1,no
113,AL,91,yes,no,112,22.08,83,14.73,130,11.12,3,3.02,3,no
114,AK,127,no,yes,117,31.14,76,10.78,71,11.85,8,3.02,1,no
115,NV,113,no,yes,101,34.85,60,12.92,59,7.14,5,2.75,2,no
116,DE,110,no,no,115,25.25,84,23.49,112,8.71,3,3.35,1,no
117,MD,120,no,yes,68,34.05,97,18.73,116,11.42,4,2.84,0,no
118,MI,157,no,yes,107,32.74,74,16.62,139,4.94,5,1.84,3,no
119,VT,103,no,no,47,41.91,84,16.62,96,9.02,4,3.16,1,no
120,VT,117,yes,no,86,28.41,87,15.09,132,11.22,7,3.81,2,yes
121,LA,121,no,no,121,30.86,98,18.56,103,7.27,5,2.3,1,no
122,RI,145,no,yes,97,43.81,95,13.78,86,12.91,4,3.0,2,no
123,IA,113,no,no,99,32.95,125,18.82,67,7.75,6,2.86,1,no
124,NE,117,no,no,119,17.48,91,17.57,105,13.46,7,2.73,1,no
125,OH,65,no,no,116,31.94,117,13.4,86,10.23,6,2.03,1,no
126,RI,56,no,no,112,38.42,118,21.12,142,6.32,11,1.86,1,no
127,OK,96,no,no,115,44.27,46,12.41,87,12.13,4,3.11,5,no
128,LA,151,no,no,116,30.38,138,24.83,101,11.97,4,2.65,0,no
129,OH,83,no,no,120,57.36,116,19.33,114,6.93,7,4.27,0,yes
130,VA,139,no,yes,129,26.79,96,21.0,112,11.66,2,3.7,0,no
131,MO,6,no,no,117,31.21,72,21.82,79,8.04,2,2.75,1,no
132,FL,115,no,yes,124,24.16,129,15.59,114,7.42,4,2.59,1,no
133,VA,141,no,no,110,36.91,111,20.53,103,11.41,6,3.24,0,no
134,MI,62,no,no,103,16.81,122,11.51,82,10.65,1,3.29,1,no
135,GA,185,no,yes,126,32.27,133,13.88,126,11.92,3,2.03,1,no
136,DC,148,no,no,102,34.34,128,20.67,90,11.76,3,2.94,1,no
137,AZ,94,no,yes,124,28.92,116,16.43,73,4.77,4,3.46,1,no
138,AL,32,no,no,87,39.25,90,15.93,53,6.93,2,1.7,0,no
139,CO,68,no,no,105,40.31,105,19.0,79,4.38,2,3.56,1,no
140,NM,25,no,no,87,20.28,101,17.98,86,12.1,4,2.84,3,no
141,OR,65,no,no,87,19.86,93,15.21,150,8.21,2,3.81,1,no
142,LA,179,no,no,92,37.26,125,12.7,104,11.01,5,1.65,0,no
143,NE,94,no,no,104,42.94,125,14.37,106,7.69,7,3.0,2,no
144,MN,62,no,no,91,25.01,107,16.18,115,8.78,3,3.29,0,no
145,AR,116,no,no,93,29.5,76,16.5,112,9.36,10,4.37,3,no
146,KS,70,no,no,122,39.46,112,24.85,112,9.05,0,0.0,3,no
147,WV,94,yes,yes,125,33.51,136,18.23,103,12.7,5,2.57,4,no
148,AK,126,no,no,94,9.89,118,11.79,91,6.16,1,3.21,5,yes
149,NY,67,no,yes,111,19.65,94,20.2,103,7.65,12,2.67,2,no
150,NH,19,no,no,98,31.64,57,21.62,127,9.63,7,3.94,2,no
151,VA,170,yes,no,68,44.18,122,20.83,121,6.05,3,2.27,3,no
152,NM,73,no,no,145,36.43,135,22.82,92,10.85,13,2.92,1,no
153,NY,106,no,no,74,26.98,139,5.47,103,8.93,4,2.75,1,no
154,AZ,93,no,no,71,46.17,108,19.5,121,3.48,3,2.94,2,no
155,WA,51,no,no,109,39.51,95,15.93,107,10.4,3,2.46,1,no
156,TX,130,no,no,109,30.07,104,7.71,69,10.71,2,2.57,1,no
157,KY,80,no,no,74,35.68,77,16.58,119,9.37,4,2.38,2,no
158,MT,94,no,no,118,23.38,88,17.27,131,6.75,2,3.62,0,no
159,OK,118,no,yes,52,49.22,111,14.16,88,5.36,4,2.57,1,no
160,MD,117,no,yes,86,33.68,86,15.05,92,8.12,6,1.84,1,no
161,TN,78,no,no,119,25.45,115,15.49,126,11.77,8,2.62,0,no
162,TX,208,no,no,67,55.51,113,14.99,102,8.18,6,2.89,2,yes
163,ME,131,yes,yes,101,49.79,97,16.97,127,11.49,7,3.73,4,yes
164,DC,63,no,no,64,14.11,106,15.05,89,11.06,3,3.51,0,no
165,MN,53,no,yes,146,24.77,136,18.74,96,11.25,5,3.54,3,no
166,DE,62,no,no,101,30.99,93,27.9,131,11.03,1,3.02,2,no
167,MD,97,no,no,86,37.06,94,15.64,110,10.82,8,1.73,3,no
168,MI,105,no,no,109,23.9,51,15.18,83,9.76,3,1.84,2,no
169,WA,157,no,no,105,25.96,80,21.89,93,8.91,4,2.54,1,no
170,MO,66,no,yes,76,18.14,77,17.83,117,8.57,2,3.27,1,no
171,IN,122,no,no,98,41.45,72,7.13,84,8.09,8,3.7,2,no
172,OR,38,no,no,94,33.05,95,15.87,90,10.05,5,2.92,3,no
173,MD,106,no,no,95,36.36,70,12.91,124,11.7,5,3.29,3,no
174,RI,99,no,no,112,36.92,89,20.97,89,10.17,7,4.27,3,no
175,LA,99,no,no,72,40.99,98,13.23,109,8.47,10,3.13,1,no
176,AZ,144,yes,no,100,34.6,103,21.05,94,8.74,11,3.21,0,no
177,LA,93,no,no,93,30.48,98,15.18,131,10.13,6,3.11,3,no
178,FL,120,no,no,80,30.6,82,19.06,91,11.94,7,1.27,3,no
179,AL,106,no,no,121,37.91,98,9.36,107,8.49,12,1.92,0,no
180,WA,81,no,no,116,31.21,98,12.97,99,9.55,6,3.29,3,no
181,TN,127,no,yes,114,28.22,103,14.83,68,11.02,6,2.75,1,no
182,MS,65,no,no,112,23.14,96,23.2,104,9.91,2,1.19,1,no
183,ME,35,no,no,113,25.38,122,20.59,104,7.84,6,2.4,2,no
184,OK,88,no,no,97,11.12,76,14.3,113,10.62,1,3.73,2,no
185,IN,65,no,no,111,36.28,94,19.93,123,11.25,4,0.73,1,no
186,MO,123,no,no,85,35.17,78,20.8,136,9.97,2,2.08,3,no
187,IA,126,no,yes,78,31.65,83,16.12,139,3.44,3,2.59,2,no
188,KY,45,no,yes,84,33.42,92,26.62,108,7.35,3,3.21,0,no
189,MD,93,yes,no,109,53.04,100,11.0,74,9.79,2,2.84,0,yes
190,OH,63,yes,yes,110,33.83,111,24.76,92,8.89,6,2.97,1,no
191,OK,100,no,no,96,34.53,126,18.45,122,8.14,2,3.65,3,no
192,NV,53,no,no,97,28.7,87,18.73,113,6.94,2,2.94,0,no
193,ID,92,yes,no,140,29.43,105,20.43,117,10.49,5,2.43,1,no
194,MN,139,no,no,106,22.85,98,17.96,125,8.71,2,2.75,5,yes
195,SD,110,no,yes,103,34.44,128,10.1,98,10.57,9,2.43,2,no
196,IL,110,no,no,117,12.67,98,17.07,101,8.65,7,2.65,3,no
197,WY,215,no,no,148,14.21,91,10.28,110,10.2,9,2.89,0,no
198,NJ,138,no,no,89,37.43,125,7.51,79,8.79,5,3.48,0,no
199,NV,137,yes,no,95,22.97,102,11.4,81,10.04,2,3.32,2,yes
200,WV,85,no,no,81,38.25,63,15.04,110,8.74,2,1.92,3,no
201,SC,22,no,no,107,18.75,93,14.15,96,9.1,5,2.57,0,no
202,RI,107,no,yes,102,10.2,80,8.69,106,11.78,3,3.0,0,no
203,IN,51,no,no,94,36.52,58,12.72,66,12.75,5,2.75,0,no
204,AZ,94,no,no,85,30.91,98,17.2,97,11.07,2,2.48,4,no
205,OR,33,no,yes,99,26.76,80,10.02,79,12.56,11,3.75,4,yes
206,NJ,106,no,no,91,35.34,109,14.62,143,8.63,7,3.89,4,no
207,MI,86,no,yes,101,20.23,134,19.55,58,10.66,3,2.57,0,no
208,TX,97,yes,no,117,24.43,82,23.21,81,8.02,3,2.94,0,no
209,FL,106,no,yes,126,28.2,93,18.4,86,7.79,8,3.81,4,no
210,DC,108,no,no,122,23.56,117,14.65,92,10.42,3,2.65,1,no
211,TX,114,no,no,118,14.4,86,21.24,95,8.7,8,3.92,1,no
212,KS,92,yes,no,111,10.64,126,15.35,80,9.98,2,2.81,1,yes
213,UT,59,no,no,79,26.38,123,20.0,80,7.62,4,2.35,1,no
214,MN,24,no,yes,110,28.03,105,17.79,55,10.4,9,1.81,1,no
215,IL,151,no,no,88,22.87,112,12.16,61,10.08,1,4.16,1,no
216,NM,117,no,no,103,24.36,108,17.96,96,8.33,3,3.11,1,no
217,SC,78,no,no,110,28.61,73,18.8,136,10.85,1,3.38,1,no
218,NC,155,no,no,55,44.61,113,16.54,85,6.59,6,2.24,2,no
219,WV,114,no,yes,79,35.05,91,22.1,83,13.12,6,3.08,1,no
220,RI,114,no,yes,94,38.39,117,16.41,100,10.46,9,2.27,4,no
221,NH,119,no,no,89,23.51,78,14.49,98,11.88,6,3.65,3,no
222,MA,118,yes,no,123,27.2,96,14.91,99,8.32,3,2.67,2,no
223,PA,101,no,no,105,35.12,117,19.12,100,11.25,3,3.94,0,no
224,OK,117,no,no,121,22.9,83,15.3,104,9.04,3,2.08,1,no
225,AL,49,no,yes,78,36.45,100,19.99,107,9.28,13,2.16,3,no
226,WY,139,no,no,104,32.78,96,19.92,101,9.14,3,3.51,3,no
227,PA,92,no,yes,90,25.69,79,16.56,114,10.76,3,2.7,1,no
228,HI,148,yes,no,88,37.21,85,17.68,99,9.15,4,3.0,0,no
229,SD,144,no,yes,96,32.27,67,10.49,106,9.64,2,1.76,2,yes
230,AL,131,no,yes,85,32.76,105,19.2,59,11.44,6,2.94,2,no
231,VT,146,yes,no,135,34.75,90,18.62,114,10.02,6,2.84,3,no
232,MT,143,no,no,97,29.29,108,14.79,119,8.47,4,3.51,2,no
233,MN,81,no,no,93,33.73,108,17.93,71,8.7,6,2.81,2,no
234,AK,48,no,yes,115,35.99,84,13.59,80,6.48,1,3.29,1,no
235,SD,145,no,yes,90,25.08,108,14.93,102,11.34,3,4.21,2,no
236,MI,137,no,no,122,35.09,102,10.88,84,8.75,5,2.38,2,no
237,KS,137,no,no,88,35.0,86,17.79,84,13.05,4,3.92,2,no
238,AL,167,no,no,88,35.29,63,11.25,98,11.48,5,3.81,0,no
239,OK,89,no,no,95,51.66,114,22.18,89,14.04,3,1.43,1,yes
240,CT,199,no,yes,121,39.2,99,18.65,94,13.47,2,2.16,0,no
241,NE,132,no,no,110,16.92,80,10.97,124,5.63,3,2.62,0,no
242,WI,94,no,no,112,30.11,112,16.49,108,6.6,4,1.59,1,no
243,WI,96,no,yes,86,29.36,113,11.34,70,11.68,3,2.65,1,no
244,IN,166,no,no,115,34.71,152,15.29,109,9.76,5,2.57,1,no
245,DC,74,no,no,83,14.57,67,21.05,85,6.41,5,2.73,2,no
246,AR,36,no,no,117,26.79,58,15.67,99,10.82,1,3.21,0,no
247,ME,113,no,no,129,36.64,117,18.59,91,9.32,9,1.78,4,no
248,MD,67,no,no,80,29.19,81,9.38,111,8.79,4,3.21,2,no
249,FL,127,no,no,106,45.32,168,22.51,119,9.32,2,1.59,1,yes
250,IA,158,no,no,106,26.86,114,24.86,89,10.85,4,2.46,1,no
251,AZ,136,no,no,117,15.64,77,21.56,90,9.63,10,2.78,1,no
252,MO,196,no,no,109,39.78,114,21.21,70,7.79,5,2.46,2,no
253,VT,113,no,no,111,46.26,118,22.82,105,9.62,10,2.3,1,yes
254,IN,122,no,no,99,50.39,89,18.26,107,6.03,3,3.08,4,yes
255,RI,112,no,no,101,33.05,82,16.18,107,8.25,2,3.08,0,no
256,SD,209,no,no,128,38.62,92,21.96,74,8.26,4,2.4,3,no
257,MN,62,no,no,109,42.28,118,18.7,78,11.96,2,3.56,1,yes
258,TX,110,no,yes,102,40.17,112,16.65,82,8.26,6,2.62,1,no
259,VA,16,no,no,69,34.95,93,14.41,64,9.9,3,2.94,0,no
260,MA,73,no,no,136,16.0,122,23.83,77,9.23,4,2.65,0,no
261,ID,128,no,no,99,21.28,107,17.46,111,11.45,2,5.1,0,no
262,MA,39,no,no,158,10.27,120,26.03,46,5.58,3,3.35,1,no
263,GA,103,no,yes,105,20.57,100,22.98,76,7.22,4,2.08,2,no
264,RI,119,no,yes,66,20.03,114,21.83,76,6.64,3,2.05,3,no
265,MA,86,no,no,79,29.97,97,22.03,78,12.93,3,1.67,0,no
266,WY,114,no,yes,79,21.28,105,15.11,89,10.46,3,3.48,1,no
267,VA,104,no,no,107,23.58,113,21.84,74,10.57,3,2.7,0,no
268,OR,148,no,no,134,14.67,92,20.96,91,11.32,4,3.05,1,no
269,VA,129,no,no,91,35.19,121,13.17,112,11.03,5,3.62,3,no
270,ME,100,no,yes,104,10.0,107,18.66,118,6.85,3,1.92,0,no
271,AL,121,no,yes,95,11.68,69,17.78,42,8.88,4,3.08,1,no
272,GA,143,no,yes,109,40.66,112,20.02,95,7.03,4,2.57,1,no
273,IA,76,no,no,130,33.71,86,18.45,96,8.48,3,3.38,0,no
274,AZ,158,no,no,97,34.88,77,20.45,108,3.59,12,3.89,0,no
275,FL,116,no,no,98,32.66,135,26.6,94,5.86,2,2.13,3,no
276,MT,54,no,no,83,46.34,74,21.14,111,8.88,2,2.57,1,yes
277,AL,86,no,no,121,21.81,93,16.75,152,6.23,5,3.29,7,yes
278,DE,108,no,no,99,28.83,87,22.45,78,9.28,4,2.51,0,no
279,KY,151,no,yes,97,36.5,90,11.77,44,7.61,4,2.32,1,no
280,SC,99,no,no,70,28.76,77,23.08,104,7.66,2,2.86,0,no
281,WA,55,no,no,121,33.0,110,15.01,136,13.63,7,1.89,2,no
282,AK,78,no,no,67,38.27,127,16.93,102,7.9,2,3.94,0,no
283,GA,89,no,no,63,36.21,71,15.01,126,11.82,1,2.46,1,yes
284,IL,44,no,yes,105,37.71,85,13.74,62,10.25,7,3.78,0,no
285,IN,98,no,yes,98,10.98,86,14.97,84,11.02,0,0.0,2,no
286,SC,64,no,yes,92,26.28,103,7.09,99,7.47,3,3.59,1,no
287,VA,141,no,no,131,44.23,120,15.23,119,6.08,8,1.94,3,no
288,WI,81,no,yes,117,27.47,90,10.46,101,11.76,5,3.29,1,no
289,VT,162,no,no,117,37.5,121,13.19,89,8.4,11,2.84,1,no
290,AZ,83,no,yes,122,26.5,107,13.8,105,5.74,5,3.54,3,no
291,AK,59,no,no,104,31.03,95,17.4,100,10.35,8,3.05,4,no
292,AR,179,yes,yes,78,37.42,71,19.92,85,10.68,4,2.73,4,no
293,AR,79,no,no,112,25.87,132,15.06,87,4.34,3,1.43,1,no
294,AK,117,no,no,95,30.86,88,17.43,82,9.18,9,3.97,2,no
295,MS,64,yes,no,77,40.15,85,18.58,97,8.73,2,3.56,2,yes
296,NM,122,no,yes,85,22.81,132,19.32,96,5.51,2,2.3,2,no
297,SC,90,no,yes,109,25.52,103,22.5,97,8.03,4,1.57,1,no
298,CO,159,yes,no,53,43.71,127,26.54,82,8.24,6,2.38,1,yes
299,DE,148,no,no,83,21.15,81,15.27,99,11.39,6,3.05,0,no
300,OH,39,no,yes,121,24.09,113,19.75,131,9.99,5,3.24,1,no
301,MS,77,no,no,87,39.1,138,8.77,136,13.93,3,3.05,2,no
302,OK,194,no,no,88,27.59,118,18.16,81,8.64,2,2.94,0,no
303,NC,112,no,no,96,32.86,123,22.45,115,5.79,3,2.46,4,no
304,MD,45,no,no,127,13.29,108,21.54,100,11.48,3,4.86,1,no
305,KS,132,no,no,110,14.18,137,19.74,114,6.6,5,2.05,1,no
306,NC,135,no,no,81,34.31,114,19.13,82,9.2,6,2.78,1,no
307,NM,56,no,no,110,33.49,102,18.94,91,10.14,6,2.86,2,no
308,CA,151,yes,no,57,37.06,88,9.72,95,12.11,1,3.35,0,yes
309,NY,32,no,no,98,28.02,96,19.54,108,7.53,2,4.0,2,no
310,SD,87,no,yes,113,36.38,114,15.3,82,6.05,5,2.86,0,no
311,DC,138,no,no,87,28.99,116,10.05,111,8.46,7,3.02,2,no
312,ND,79,no,no,123,34.97,108,18.23,106,10.17,18,1.81,1,no
313,MO,95,yes,no,84,28.14,112,24.33,89,8.95,2,3.11,1,yes
314,KS,127,no,no,100,37.57,113,13.66,96,10.49,4,1.84,2,no
315,SD,137,no,no,118,41.16,93,16.24,50,9.84,2,3.97,3,no
316,OK,97,no,no,107,25.77,96,13.21,112,10.8,4,3.97,1,no
317,OR,149,yes,no,87,29.95,81,12.33,92,11.23,4,1.54,0,no
318,IN,117,yes,yes,82,33.32,82,27.43,120,10.15,5,1.0,1,no
319,OH,84,no,no,125,27.12,90,21.0,82,8.46,4,1.94,2,no
320,KS,137,no,no,113,39.13,79,18.73,111,9.21,7,2.89,4,no
321,NH,54,no,no,102,35.79,83,17.38,53,5.75,5,2.3,1,no
322,WI,85,no,no,95,17.34,139,22.97,105,6.67,3,2.89,1,no
323,WV,43,no,no,125,28.63,89,20.72,102,9.66,2,3.0,1,no
324,MA,35,no,no,129,17.95,129,21.95,77,9.59,3,2.35,0,no
325,MD,98,no,no,92,35.11,152,14.98,115,10.48,5,3.35,5,no
326,PA,112,no,no,76,36.91,100,17.44,91,8.36,3,2.54,2,no
327,WI,16,no,no,78,39.03,108,17.48,91,7.48,2,2.92,0,yes
328,TN,98,no,yes,89,47.31,143,7.94,42,4.84,5,2.62,0,no
329,IL,84,no,no,129,30.86,112,11.11,118,8.39,4,2.3,1,no
330,DC,66,no,no,91,28.44,68,19.55,118,8.63,5,2.86,1,yes
331,ID,74,no,no,124,37.59,94,9.42,112,10.8,3,2.86,0,no
332,UT,96,no,yes,108,24.79,89,16.34,96,7.43,2,2.67,1,no
333,KY,119,no,no,122,37.88,107,13.87,112,7.23,6,3.02,1,no
334,WI,92,yes,no,91,44.93,115,13.68,73,8.94,5,2.51,0,no
335,IL,21,no,no,78,24.82,79,9.32,108,11.13,7,1.84,0,no
336,DE,122,no,no,134,26.71,122,15.72,59,8.87,5,2.3,4,yes
337,RI,133,yes,no,108,21.64,81,21.36,88,6.08,3,2.78,1,no
338,TX,145,no,no,110,31.94,117,16.75,108,7.52,4,1.3,2,no
339,OR,25,no,no,90,30.4,72,12.0,99,9.14,5,2.27,2,no
340,NV,64,no,no,80,16.52,90,15.83,92,8.5,6,2.81,2,no
341,NE,85,no,no,85,44.17,117,20.6,72,7.6,1,1.46,0,no
342,OR,76,no,no,77,28.82,87,10.54,92,9.87,3,2.7,0,no
343,DE,224,yes,no,99,29.16,103,13.6,102,9.56,2,1.35,1,yes
344,AZ,117,no,no,84,40.78,106,14.86,93,9.43,2,2.65,0,no
345,SD,128,no,yes,73,24.19,79,16.56,81,10.77,6,4.32,1,no
346,NV,115,no,no,98,31.3,73,27.8,106,9.56,6,2.03,2,no
347,NM,141,no,yes,126,35.17,126,22.47,124,7.73,11,2.51,2,no
348,MN,51,no,no,114,44.18,94,14.98,112,3.47,1,4.13,1,no
